Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
ADV Slim'Up;10.93;0;;5.63;0.93;;;;Laser | Cold | Modulo | Lead | ABO | 13/01/2026;Broad | D | 18/65+ | Marzocca | 17km | Valore di conversione;2026-05-17;0.61;1943;18
Arianna Menis;11.84;0;;4.58;2.44;;;;Nuova campagna Contatti;UNIQA SUMMER EXPERIENCE CORMONS;2026-05-17;0.19;2587;63
Arianna Menis;23.28;1;23.28;7.39;1.05;;;;7 GIORNI INTENSIVI A 340€;PUBBLICO FREDDO | dal 12.05 al 25.05;2026-05-17;0.71;3151;33
Arianna Menis;24.58;1;24.58;3.85;1.18;;;;Consulenza con nutrizionista + bioimpedenziometria gratuita;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-17;0.33;6379;75
Nicola Cossater Beauty;15.56;0;;3.30;1.17;;;;Instagram post: Come scegliere il centro di...;Instagram post: Come scegliere il centro di...;2026-05-17;0.28;4718;55
Riflesso Evolution;2.48;0;;11.87;1.44;;;;[LG] Manuela Shala broad 29/04/2026;Rmkt;2026-05-17;0.83;209;3
Riflesso Evolution;3.74;0;;16.92;3.17;;;;[LG] Manuela Shala broad 29/04/2026;Broad;2026-05-17;0.53;221;7
Riflesso Evolution;10.76;1;10.76;7.07;1.12;;;;[LG] Manuela Shala Lead Ads 29/04/2026;Broad;2026-05-17;0.63;1521;17
Centro estetico natura;6.72;0;;10.12;1.66;;;;INFRATERMIK;INFRATERMIK 05-26;2026-05-17;0.61;664;11
Exthetyc;38.23;3;12.74;3.52;2.30;Exthetyc;;;Seduta Total Body a 68€;PUBBLICO FREDDO | dal 16.05 27.05;2026-05-17;0.15;10858;250
Exthetyc;32.70;2;16.35;4.28;2.66;Exthetyc;;;Prova trattamento corpo Tcl a 37€;PUBBLICO FREDDO | dal 07.05 al 18.05;2026-05-17;0.16;7637;203
ADV SANITAL ECO STORE;8.47;0;;13.47;1.91;;;;05/04/26 - corpo Nutriestetica - COLD - ABO;corpo donna - Catania +5 - W 18-65 - ALL - Volume;2026-05-17;0.71;629;12
ADV SANITAL ECO STORE;3.36;0;;0.54;0.03;;;;Nuova campagna Notorietà;Nuovo gruppo di inserzioni Notorietà;2026-05-17;1.68;6242;2
Eternity LB - Account pubblicitario;5.87;3;1.96;25.19;4.29;;;;Nuova campagna Contatti wonder 2;Nuovo gruppo di inserzioni Contatti;2026-05-17;0.59;233;10
Leuce - Medicina Estetica;24.78;0;;7.37;0.98;;;;Welcome rimodellami a 89€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-17;0.75;3362;33
Beauty Art;5.86;0;;2.49;0.98;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Video 2 mod Promo 69€ - Testo 2 - Titolo 1 - Modulo 2 Laser promo 69€;2026-05-17;0.25;2356;23
Beauty Art;6.01;1;6.01;2.10;0.77;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Imm 2 Promo 19€ - Testo 2 - Titolo 1 - Modulo 3 Laser promo 19€;2026-05-17;0.27;2856;22
Nuove Sensazioni;25.07;0;;6.14;1.42;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 29.04 al 12.05;2026-05-17;0.43;4083;58
Beauty Point Srl;25.61;0;;9.36;1.50;;;;2 sedute super rimodellanti a 157€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-17;0.62;2736;41
Fiori di loto;6.49;0;;2.43;5.77;FIORI DI LOTO;;;LASER PELI - PROVA GRATUITA - DM - MAGGIO campagna Interazioni;Nuovo gruppo di inserzioni Interazioni;2026-05-17;0.04;2670;154
ADV Solelù;17.47;2;8.74;4.62;1.90;;;;DCD_Taranto+Grottaglie_3ESC poi 2ESC;Maggio_2ESC79€;2026-05-17;0.24;3783;72
Farmacia Di Gennaro;23.73;0;;4.55;1.96;;;;Trattamento Localizzato + Diagnosi Inclusa a 49€.;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-17;0.23;5214;102
ADV CENTRO ESTETICO AMBRA;4.49;1;4.49;6.65;1.93;;;;[LEAD] Welcome experience 59€;[LEAD] Welcome experience 59€;2026-05-17;0.35;675;13
Farmacia Gagliardelli;27.46;1;27.46;11.43;2.00;;;;Prova T-Shape2 a 49€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-17;0.57;2403;48
ADV Visamour;12.87;1;12.87;5.12;1.79;;;;Face Clinic 67€ - maggio;Nuovo gruppo di inserzioni Contatti 8.05;2026-05-17;0.29;2516;45
Dott.ssa Orsola Bruno AP;65.46;0;;26.28;3.33;;;;Remarketing - Ebook - Best - 11.05;Best rem 06.05;2026-05-17;0.79;2491;83
Andreea Francu Renzo Gestione;4.69;0;;4.33;0.74;;;;Corso Falconara marittima 7/8 Giugno  con foto new renzo;Corso Falconara marittima 25/26 Gennaio 70 km;2026-05-17;0.59;1082;8
SALUS 2024;22.88;2;11.44;6.56;1.32;;;;un mese di trattamenti corpo a 437€;PUBBLICO FREDDO | Dal 06.05 al 19.05;2026-05-17;0.50;3487;46
Laboratorio Estetico Catia;11.18;1;11.18;3.24;3.42;;;;[SV] Laboratorio Estetico - Lead Gen;Martano (20km) - Donna 25+ - Vacum - Copia;2026-05-17;0.09;3455;118
Laboratorio Estetico Catia;11.60;1;11.60;6.82;2.53;;;;[SV] Laboratorio Estetico - Lead Gen;Martano (20km) - Donna 25+ / Rimodellante - Copia;2026-05-17;0.27;1700;43
B-ewolution by Beauty Way;21.96;0;;11.89;1.52;;;;Prova tecnologia a 57€ + consulenza;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-17;0.78;1847;28
Centro Estetico Enrica;19.28;3;6.43;4.72;1.32;;;;GIB | Lead Gen | Perfect Shape;Broad | F | 25-64 | 16km | 13.04.26;2026-05-17;0.36;4082;54
ADV - ELYSIR CURNO;28.59;3;9.53;9.24;1.97;;;;6 entrate palestra metabolica + trattamento corpo a 99€;PUBBLICO FREDDO | dal 24.04 al 07.05;2026-05-17;0.47;3094;61
ADV LINEA PERFETTA;32.92;0;;16.74;1.58;;;;2 trattamenti corpo a 147€;PUBBLICO FREDDO | dal 30.04 al 13.05;2026-05-17;1.06;1967;31
Black Queen Beauty Art;16.76;0;;11.23;1.61;;;;Lead Generations terza fase;Gruppo contatti 3 fase;2026-05-17;0.70;1492;24
ADV Linea Più Casale;25.60;0;;10.02;1.92;;;;Trattamento Viso + Prova T-Shape a 117€;PUBBLICO FREDDO | dal 13.05 al 26.05;2026-05-17;0.52;2555;49
ADV Linea Più Casale;26.62;2;13.31;7.88;1.63;;;;Consulenza Specialistica + Trattamento a soli 79€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-17;0.48;3379;55
Farmacia Padre Pio;21.83;2;10.92;5.63;1.80;;;;3 sedute corpo in 21 giorni a 297€;PUBBLICO FREDDO | Dal 11.05 al 24.05;2026-05-17;0.31;3880;70
ADV - Body Laser;9.96;7;1.42;12.82;5.15;;;;CBO | Lead Gen | 197 euro;TOFU | Old Ads;2026-05-17;0.25;777;40
ADV - Centro Benessere Polverino;11.35;2;5.68;4.43;2.50;;;;[SV] - Trattamento Infrabaldan + T-Shape;[SV] - Trattamento 59€;2026-05-17;0.18;2560;64
ADV - Charme estetica benessere;23.87;2;11.94;9.90;2.20;;;;un mese di trattamenti a 340€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-17;0.45;2410;53
ADV Tachi Estetica ;21.38;2;10.69;8.42;2.44;;;;Special Pack: 4 sedute (12 trattamenti totali) a 257€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-17;0.34;2538;62
ADV Maison Kuku;33.65;2;16.83;7.35;2.38;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-17;0.31;4579;109
ADV - Mudra Centro Benessere;25.91;3;8.64;10.38;2.24;;;;Consulenza + priva gratuita +.30% di sconto sui percorsi corpo;PUBBLICO FREDDO | Dal 11.05 al 21.05;2026-05-17;0.46;2497;56
ADV - Dermal Center;27.97;1;27.97;13.60;1.70;;;;Primo trattamento prova a 39€;PUBBLICO FREDDO - TELEMARKETING | Dal 07.05 al 20.05;2026-05-17;0.80;2056;35
ADV - Farmacia Martelletto;27.14;1;27.14;6.20;2.03;;;;Trattamento Prova a 47€;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-17;0.30;4377;89
ADV - Farmacia Martelletto;5.57;0;;0.57;0.14;;;;Maggio 2026;Maggio 2026;2026-05-17;0.40;9758;14
Tyla Institute Estetica;2.33;0;;0.75;0.90;;;;"Post: ""Il collagene è ciò che dà struttura, compattezza...""";"Post: ""Il collagene è ciò che dà struttura, compattezza...""";2026-05-17;0.08;3109;28
Tyla Institute Estetica;25.85;1;25.85;35.85;5.27;;;;6 Incontri a 670€ (invece di 1200€).;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-17;0.68;721;38
Tyla Institute Estetica;2.34;0;;2.14;1.47;;;;"Post: ""La bilancia non racconta davvero chi sei. È solo...""";"Post: ""La bilancia non racconta davvero chi sei. È solo...""";2026-05-17;0.15;1092;16
Tyla Institute Estetica;2.43;0;;3.71;6.26;;;;Post di Instagram: La nuova frontiera nella lotta...;Post di Instagram: La nuova frontiera nella lotta...;2026-05-17;0.06;655;41
ADV - Oasi di Nadia;22.57;0;;18.41;0.82;;;;Prova trattamento tshape2 a 59€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-17;2.26;1226;10
ADV - Pietrabianca;20.16;7;2.88;5.12;2.56;;;;OTB | LEAD GEN;Pomigliano + 10km | 20+ - New Form 10.03;2026-05-17;0.20;3938;101
ADV - Brera13 Beauty ;30.85;6;5.14;23.42;2.73;;;;2 TRATTAMENTI CORPO A 97€;PUBBLICO FREDDO | dal 13.05 al 26.05;2026-05-17;0.86;1317;36
L'estetica che ti cambia la vita - ITALIA;32.57;0;;11.38;1.33;;;;2 sedute rimodellanti a 97€;PUBBLICO FREDDO - VIZIATA | Dal 13.05 al 26.05;2026-05-17;0.86;2861;38
L'estetica che ti cambia la vita - ITALIA;30.08;2;15.04;7.42;2.02;;;;2 Trattamenti Rimodellanti a soli 97€;PUBBLICO FREDDO - 3D FARMA - TELEMARKETING | Dal 12.05 al 23.05;2026-05-17;0.37;4054;82
L'estetica che ti cambia la vita - ITALIA;20.26;1;20.26;6.12;1.12;;;;2 Trattamenti Rimodellanti a soli 97€;PUBBLICO FREDDO - AVERSANO ORABONA - TELEMARKETING | Dal 12.05 al 25.05;2026-05-17;0.55;3309;37
L'estetica che ti cambia la vita - ITALIA;29.51;0;;15.78;2.09;;;;Consulenza + Trattamento a soli 67€;PUBBLICO FREDDO - SUPERSUN | Dal 11.05 al 24.05;2026-05-17;0.76;1870;39
ADV ARTESTETICA ;26.48;0;;12.43;1.92;;;;Trattamento con radiofrequenza a 57€;PUBBLICO FREDDO | Dal 07.05 al 20.05;2026-05-17;0.65;2131;41
ADV - Atelier Fiumara;20.95;0;;18.99;2.36;;;;Prova tecnologia a 39€;PUBBLICO FREDDO | Dal 13.05 al 25.05;2026-05-17;0.81;1103;26
SkinMedic Lecco new;23.40;0;;5.05;1.27;;;;[SV] - CORPO;Lecco +20km Corpo - 13/05;2026-05-17;0.40;4632;59
Baldan Intelligence;22.19;0;;0.58;0.14;;;;AURA - Awareness - AWA;AW - ITA;2026-05-17;0.40;38431;55
Baldan Intelligence;10.78;0;;1.31;0.67;;;;AURA - Awareness - INT;AW - ITA;2026-05-17;0.20;8249;55
Baldan Group USA;456.03;4;114.01;182.19;6.95;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | GLP 1;2026-05-17;2.62;2503;174
Baldan Group USA;465.67;4;116.42;192.35;7.89;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | CLIENT RETENTION;2026-05-17;2.44;2421;191
Baldan Group USA;415.54;4;103.89;161.63;5.21;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | RECURRING REVENUE;2026-05-17;3.10;2571;134